x,y,z,r,p,y
-0.136819,0.0152635,-0.00698953,178.468,-179.766,-179.86
-0.137004,0.015532,-0.00693852,178.468,-179.766,-179.862
0.0226233,-0.00427238,-0.0192405,176.955,-179.645,-179.703
0.0593878,-0.0369508,0.00285458,176.864,-179.584,-179.881
0.0698983,-0.0423881,0.0043966,177.054,-179.44,-179.933
0.0675674,-0.041726,0.00647127,177.036,-179.465,179.942
0.0559465,-0.0286961,-0.00310837,177.05,-179.567,-179.951
0.0509757,-0.0235851,-0.00754693,177.145,-179.72,-179.894
0.0414782,-0.0166073,-0.013857,176.978,-179.634,-179.753
0.0370537,-0.0161067,-0.0116729,177.041,-179.683,-179.922
0.0380719,-0.017664,-0.0135919,177.064,-179.634,-179.766
0.0349415,-0.016634,-0.0160162,177.038,-179.635,-179.905
0.0323496,-0.0138414,-0.0184421,177.044,-179.835,-179.795
0.0284807,-0.0155127,-0.00820088,177.077,-179.723,-179.866
0.0363281,-0.0179446,-0.0073692,177.039,-179.705,-179.9
0.0339453,-0.0199827,-0.00439175,176.917,-179.69,-179.952
0.036338,-0.020912,-0.00838072,177.025,-179.626,-179.909
0.0430772,-0.0206837,-0.0106438,177.043,-179.69,-179.891
0.0347305,-0.0203862,-0.0117107,177.001,-179.635,-179.935
0.0376336,-0.0237102,-0.0107649,177.016,-179.709,-179.883
0.0392494,-0.0238351,-0.00763718,177.068,-179.814,-179.92
0.0373833,-0.02003,-0.0105131,176.978,-179.588,-179.866
0.042802,-0.0180331,-0.0152035,177.07,-179.523,-179.831
0.0472209,-0.0168138,-0.0155384,176.948,-179.52,-179.812
0.0427648,-0.0167231,-0.0133551,176.907,-179.671,-179.831
0.0427414,-0.021549,-0.00976879,177.012,-179.609,-179.86
0.0446131,-0.0188319,-0.00675027,177.049,-179.684,-179.871
0.0459015,-0.0239443,-0.009547,177.133,-179.658,-179.828
0.0397144,-0.0206712,-0.00719559,177.035,-179.519,-179.848
0.0389593,-0.022397,-0.00717692,177.074,-179.72,-179.821
0.0355562,-0.0214473,-0.00469529,177.136,-179.776,-179.896
0.04108,-0.0257556,-0.00459002,177.061,-179.709,-179.912
0.0412773,-0.0264208,-0.00674255,177.034,-179.725,-179.994
0.0415955,-0.0262699,-0.00594474,177.055,-179.633,-179.868
0.0422184,-0.0233863,-0.00840495,177.061,-179.732,-179.879
0.0437614,-0.0214603,-0.0131766,176.99,-179.616,-179.897
0.0428806,-0.0202967,-0.0123301,176.991,-179.63,-179.92
0.041475,-0.0248033,-0.011948,177.013,-179.616,-179.868
0.0433935,-0.024634,-0.00825898,177.006,-179.612,-179.864
0.0445709,-0.0240148,-0.0137244,177.115,-179.644,-179.8
0.0469447,-0.0208274,-0.0167507,177.124,-179.707,-179.8
0.0421909,-0.0173026,-0.0144056,176.954,-179.746,-179.874
0.0441664,-0.0205941,-0.0125918,177.039,-179.557,-179.895
0.0429161,-0.0217653,-0.0135668,177.004,-179.619,-179.772
0.0381281,-0.0216736,-0.00744523,176.965,-179.559,-179.996
0.0410125,-0.0227775,-0.00658854,177.085,-179.707,-179.917
0.0398261,-0.0219327,-0.0107192,176.991,-179.584,-179.908
0.0464227,-0.0253166,-0.0141147,177.005,-179.572,-179.81
0.0449371,-0.0275113,-0.0110578,177.064,-179.693,-179.85
0.044552,-0.0273055,-0.0123244,177.121,-179.718,-179.883
0.0437324,-0.0236138,-0.012424,177.089,-179.595,-179.905
0.0429818,-0.0249861,-0.00982968,177.057,-179.756,-179.882
0.038832,-0.0215539,-0.0108267,177.044,-179.57,-179.943
0.0433142,-0.0221366,-0.0129297,177.016,-179.63,-179.809
0.0419929,-0.0231196,-0.0135428,177.055,-179.573,-179.843
0.0419753,-0.0233539,-0.00978089,177.075,-179.663,-179.824
0.0387911,-0.0214295,-0.0121518,176.986,-179.676,-179.858
0.0358342,-0.019007,-0.0194926,176.963,-179.581,-179.718
0.0373381,-0.0189915,-0.0199124,177.008,-179.646,-179.791
0.0411873,-0.016555,-0.0161063,177.084,-179.767,-179.818
0.044804,-0.0197157,-0.0113572,176.988,-179.629,-179.739
0.0448556,-0.0161249,-0.0106316,177.046,-179.604,-179.93
0.047104,-0.022139,-0.0124009,177.119,-179.639,-179.797
0.0481749,-0.025287,-0.0125208,177.073,-179.577,-179.867
0.0488056,-0.0273234,-0.00874355,177.023,-179.635,-179.873
0.0485524,-0.0277096,-0.00541298,177.122,-179.715,-179.912
0.0466946,-0.0281422,-0.00214383,177.117,-179.717,-179.959
0.0489437,-0.0279494,-0.00397377,177.146,-179.648,-179.94
0.0430918,-0.0284235,-0.00352033,177.05,-179.635,-179.949
0.0378323,-0.0283077,-0.00267909,177.071,-179.703,179.98
0.0357219,-0.0212065,-0.0088236,176.939,-179.701,-179.955
