x,y,z,r,p,y
0.0217969,-0.00548856,-0.019069,176.957,-179.645,-179.704
0.0408995,-0.0219034,-0.007991,176.865,-179.586,-179.877
0.054971,-0.0317784,-0.00286382,177.052,-179.441,-179.927
0.0587742,-0.0357696,0.000933213,177.035,-179.466,179.951
0.0541705,-0.0292953,-0.00422363,177.052,-179.568,-179.948
0.0522029,-0.0265679,-0.00687877,177.144,-179.718,-179.891
0.0464409,-0.0217485,-0.0112517,176.978,-179.633,-179.751
0.0429748,-0.0211131,-0.00998275,177.041,-179.682,-179.921
0.0429521,-0.0214988,-0.0115363,177.063,-179.633,-179.767
0.040225,-0.0204784,-0.0135393,177.037,-179.634,-179.904
0.0374925,-0.0180418,-0.0157519,177.042,-179.83,-179.794
0.0338807,-0.0188728,-0.00885797,177.072,-179.718,-179.862
0.0385209,-0.0202426,-0.00803712,177.037,-179.703,-179.898
0.0366578,-0.021658,-0.0056075,176.917,-179.689,-179.944
0.0381363,-0.0221917,-0.00811085,177.019,-179.623,-179.903
0.0428296,-0.0220298,-0.00978844,177.043,-179.685,-179.886
0.0372873,-0.0218317,-0.0106886,177,-179.634,-179.931
0.0390112,-0.0242048,-0.010145,177.016,-179.705,-179.88
0.0399004,-0.0245486,-0.00800571,177.067,-179.81,-179.919
0.0387529,-0.0218338,-0.00998127,176.979,-179.588,-179.867
0.0427496,-0.0200876,-0.0134822,177.069,-179.522,-179.83
0.0463367,-0.0189417,-0.0140638,176.95,-179.521,-179.814
0.0435599,-0.0186204,-0.0127146,176.91,-179.671,-179.833
0.0435939,-0.0219271,-0.0100743,177.014,-179.609,-179.862
0.044866,-0.0201211,-0.00777076,177.049,-179.682,-179.868
0.0459705,-0.0235034,-0.00948291,177.134,-179.656,-179.826
0.0417874,-0.0214318,-0.00765753,177.038,-179.518,-179.847
0.0408682,-0.0225942,-0.00750136,177.074,-179.719,-179.823
0.037921,-0.0220421,-0.00557091,177.135,-179.774,-179.893
0.0414281,-0.0252026,-0.00525039,177.062,-179.709,-179.91
0.0415684,-0.026052,-0.00665867,177.036,-179.724,-179.993
0.0418961,-0.026196,-0.00604904,177.054,-179.633,-179.867
0.0423659,-0.0241959,-0.00785477,177.061,-179.73,-179.876
0.0436622,-0.022684,-0.0114862,176.991,-179.616,-179.895
0.0432097,-0.0217902,-0.0112099,176.99,-179.63,-179.916
0.0423049,-0.0248594,-0.0110805,177.011,-179.615,-179.863
0.0436505,-0.0249415,-0.00851815,177.005,-179.613,-179.859
0.0446503,-0.0243165,-0.0125392,177.111,-179.641,-179.803
0.0464686,-0.0219156,-0.0151977,177.123,-179.704,-179.801
0.0431406,-0.0193238,-0.0138182,176.952,-179.741,-179.873
0.0445407,-0.0213383,-0.0125365,177.038,-179.557,-179.89
0.0437248,-0.0220014,-0.013234,177.003,-179.616,-179.773
0.0402045,-0.0222524,-0.00864108,176.969,-179.56,-179.996
0.0418546,-0.0230588,-0.00772193,177.086,-179.703,-179.917
0.0409934,-0.0224057,-0.0104849,176.994,-179.582,-179.905
0.0457408,-0.0247485,-0.0130117,177.006,-179.57,-179.81
0.044874,-0.0266246,-0.010954,177.063,-179.692,-179.849
0.0446515,-0.0267425,-0.0119554,177.121,-179.717,-179.879
